NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC AUTO GENERAL MOTOR SA,"COM. MARACINENI, SAT ARGESELU,DN 73 487,jud.ARGES","COMUNA MARACINENI,SAT ARGESELU DN 73 487,jud.ARGES",152,111,AG006,248.278249,17-DEC-24-16-DEC-26,2;3,Autovehicule echipate cu instalate GNC;Vehicule echipate cu sistem de franare pneumatic,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DACIA SERVICE CURTEA DE ARGES SRL,"CURTEA DE ARGES,STR. ALBESTI 7,jud.ARGES","CURTEA DE ARGES,STR. ALBESTI 7,jud.ARGES",158,261,AG012,,25-MAR-25-24-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICE CICLOP SA,"BUCURESTI,SOS. GIURGIULUI 260,jud.BUCURESTI","BUCURESTI,SOS. GIURGIULUI 260,jud.BUCURESTI",18,14,B0011,,15-NOV-24-14-NOV-26,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TRANSPORTURI AUTO FILARET SA,"BUCURESTI,STR. SPATARUL PREDA 7A,jud.BUCURESTI","BUCURESTI,STR. SPATARUL PREDA 7A,jud.BUCURESTI",38,106,B0029,,07-DEC-24-06-DEC-26,2,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MAXIM SERV SRL,"BUCURESTI,STR. CUZA VODA 82,jud.BUCURESTI","BUCURESTI,STR. CAPALNA 12,jud.BUCURESTI",58,1841,B0076,,03-AUG-24-02-AUG-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOCENTER GABRIEL SERVICE SRL,"BUCURESTI,STR. OTESANI 20,jud.BUCURESTI","BUCURESTI,STR. OTESANI 20,jud.BUCURESTI",61,539,B0080,,23-JUN-24-22-JUN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SAM - TRADI SRL,"MOGOSOAIA,SOS. BUCURESTI-TARGOVISTE 56,jud.ILFOV","COM. MOGOSOAIA,SOS. BUCURESTI-TARGOVISTE 56,jud.ILFOV",79,736,B0105,21.3504252,17-MAR-24-16-MAR-26,1;2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC PAN EXPRESS SERVICE SRL,"BUCURESTI,CALEA GIULESTI 11-13,jud.BUCURESTI","BUCURESTI,CALEA GIULESTI 11-13,jud.BUCURESTI",96,375,B0056,21.3173142,02-JUN-24-01-JUN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOKLASS CENTER SRL,"BUCURESTI,SPLAIUL UNIRII 166A,jud.BUCURESTI","BUCURESTI,SPLAIUL UNIRII 166A,jud.BUCURESTI",105,952,B0124,,04-SEP-25-09-AUG-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOKLASS CENTER SRL,"BUCURESTI,SPLAIUL UNIRII 166A,jud.BUCURESTI","BUCURESTI,SPLAIUL UNIRII 166A,jud.BUCURESTI",105,952,B0124,,10-AUG-24-09-AUG-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MERIDIAN VEST SRL,"BUCURESTI,BD. IULIU MANIU 319-329,jud.BUCURESTI","BUCURESTI,STR. TURNU MAGURELE 52-62,jud.BUCURESTI",114,1123,B0144,,20-JAN-24-19-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO CONSTANT LR SRL,"BUCURESTI,STR. SPINENI 18,jud.BUCURESTI","BUCURESTI,B-DUL ION MIHALACHE, CAM. 3, BL. 44A2, SC. C, ET. 11, AP. 120 92,jud.BUCURESTI",121,1164,B0155,,02-SEP-24-29-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
MURESUL SOCIETATE COOPERATIVA MESTESUGAREASCA,"ALBA IULIA,STR. A. I. CUZA 7,jud.ALBA","ALBA IULIA,STR. PRIMAVERII 1,jud.ALBA",312,1339,AB006,258.813358,13-MAY-25-12-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SICARO SRL,"BRASOV,STR. HARMANULUI 49W,jud.BRASOV","BRASOV,STR. HARMANULUI 49W,jud.BRASOV",351,1080,BV031,268.335991,01-APR-24-31-MAR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ROBITESZT SRL,"TARGU SECUIESC,STR. PAPP MIHALY 6,jud.COVASNA","TARGU SECUIESC,STR. NICOLAE BALCESCU, BL. 1, AP. 16 3,jud.COVASNA",371,1218,CV020,,27-AUG-24-26-AUG-26,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TRAM SRL,"REGHIN,STR. LIVEZILOR 2,jud.MURES","REGHIN,STR. GARII 64,jud.MURES",395,91,MS006,265.512207,09-JAN-25-08-JAN-27,2;3,"Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule din categoriile N2, N3 si T;Autovehicule echipate cu instalate GPL sau GNC;Autovehicule echipate cu tractune integrala permanenta",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AGROTRANSPORT SA,"SAT BUJORENI,Str. Abatorului 22,jud.VALCEA","SAT BUJORENI,Str. Abatorului 22,jud.VALCEA",444,359,VL010,250.744633,01-JUN-25-31-MAY-27,2,"Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
VERBITA SRL,"ARAD,CALEA AUREL VLAICU 282/1,jud.ARAD","ARAD,Calea Aurel Vlaicu 282/1,jud.ARAD",463,876,AR015,,15-AUG-25-14-AUG-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC B-ALEX SRL,"CHISINEU-CRIS,STR. TUDOR VLADIMIRESCU 2,jud.ARAD","CHISINEU-CRIS,STR. TUDOR VLADIMIRESCU 2,jud.ARAD",464,892,AR016,257.350063,21-OCT-23-20-OCT-25,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO MET 2006 SRL,"HUNEDOARA,BD. DACIA 32,jud.HUNEDOARA","HUNEDOARA,BD. DACIA 32,jud.HUNEDOARA",518,1171,HD025,254.71204,17-MAY-24-16-MAY-26,1;2;3,Autovehicule echipate cu instalate GNC,
SC AUTO SERVICE LUCA SRL,"TIMISOARA,CALEA BOGDANESTILOR 119,jud.TIMIS","TIMISOARA,CALEA BOGDANESTILOR 119,jud.TIMIS",545,484,TM016,,01-APR-24-31-MAR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SERVICE AUTOMOBILE SRL,"FILIASI,SAT RACARII DE SUS, STR. PRIMAVERII 5,jud.DOLJ","FILIASI,SAT RACARII DE SUS, STR. PRIMAVERII 5,jud.DOLJ",213,1885,DJ034,,19-FEB-24-18-FEB-26,2,Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MOTOTOLEA COM SERV SOCIETATE IN NUME COLECTIV,"SAT VALEA DRAGULUI, COM. VALEA DRAGULUI,SOS. PRINCIPALA 394,jud.GIURGIU","COM. VALEA DRAGULUI,- -,jud.GIURGIU",242,1178,GR008,,26-MAY-24-25-MAY-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VOLTRANS SA,"SEBES,STR. MIHAIL KOGALNICEANU 48,jud.ALBA","SEBES,STR. MIHAIL KOGALNICEANU 48,jud.ALBA",311,138,AB003,258.732586,16-JAN-25-15-JAN-27,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO-COMET-SERVICE SRL,"SEBES,STR. PLEVNEI 9,jud.ALBA","SEBES,STR. PLEVNEI 9,jud.ALBA",314,337,AB008,258.732772,04-MAY-25-03-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DUPEX SRL,"SEBES,STR. CALARASI 71,jud.ALBA","SEBES,STR. PENES CURCANU 2,jud.ALBA",327,1252,AB022,258.730545,27-MAR-25-26-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC EURO INSPECT SRL,"BLAJ,STR. IULIU MANIU 4,jud.ALBA","BLAJ,STR. GHEORGHE BARITIU, BL. 3, AP. 15 FN,jud.ALBA",328,1268,AB023,258.714957,17-JUL-24-16-JUL-26,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule cu norma de poluare EURO 6 sau EURO VI;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOMOTOR SRL,"CRAIOVA,CALEA BUCURESTI 112BIS,jud.DOLJ","CRAIOVA,CALEA BUCURESTI 112BIS,jud.DOLJ",212,1707,DJ010,251.437246,08-AUG-25-07-AUG-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VALEA PRAHOVEI SA,"CAMPINA,STR. SALAJ 11,jud.PRAHOVA","CAMPINA,STR. SALAJ 11,jud.PRAHOVA",277,771,PH030,,03-AUG-24-02-AUG-26,2;3,Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
TROMET SOCIETATE COOPERATIVA MESTESUGAREASCA,"PLOIESTI,STR. GHE. GR. CANTACUZINO 348,jud.PRAHOVA","PLOIESTI,STR. GHE. GR. CANTACUZINO 348,jud.PRAHOVA",283,1166,PH041,,06-MAY-24-05-MAY-26,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AITRANS SA,"AIUD,STR. GARII 16BIS,jud.ALBA","AIUD,STR. GARII 16BIS,jud.ALBA",310,137,AB002,258.86183,02-AUG-24-01-AUG-26,2,Autovehicule echipate cu instalate GPL sau GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC ADCIEL SRL,"ZARNESTI,STR. BRAZILOR 4A,jud.BRASOV","ZARNESTI,STR. BRAZILOR 4A,jud.BRASOV",342,658,BV023,268.222234,15-JUN-25-14-JUN-27,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SITOMSERV SRL,"FAGARAS,STR. LIBERTATII 54,jud.BRASOV","FAGARAS,STR. LIBERTATII 54,jud.BRASOV",355,1259,BV037,268.210233,12-NOV-24-11-NOV-26,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC INTER-COM SRL,"SFANTU GHEORGHE,STR. LT. PAIUS DAVID 7,jud.COVASNA","SFANTU GHEORGHE,STR. LT. PAIUS DAVID 7,jud.COVASNA",370,1197,CV019,,17-FEB-24-16-FEB-26,2;3,Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOGROUP-SIMO SRL,"ODORHEIU SECUIESC,Str. Beclean 298,jud.HARGHITA","ODORHEIU SECUIESC,Str. Beclean 298,jud.HARGHITA",386,1249,HR019,266.218045,13-OCT-24-12-OCT-26,2;3,Autovehicule echipate cu instalate GNC,
SC AUTOGROUP-SIMO SRL,"CRISTURU SECUIESC,STR. LIBERTATII 14,jud.HARGHITA","ODORHEIU SECUIESC,Str. Beclean 298,jud.HARGHITA",387,1250,HR020,266.218045,05-NOV-24-04-NOV-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC FALCON SERVICII SRL,"SAT VALEA STRAMBA, COM. SUSENI,STR. PRINCIPALA 14,jud.HARGHITA","SAT VALEA STRAMBA, COM. SUSENI,Str. Principala 14,jud.HARGHITA",390,1316,HR023,266.350115,23-MAR-25-22-MAR-27,1;2;3,Autovehicule echipate cu instalate GNC,
SC TRANSCOM SA,"SIBIU,STR. FRIGORIFERULUI 1,jud.SIBIU","SIBIU,STR. FRIGORIFERULUI 1,jud.SIBIU",422,326,SB006,269.222928,05-MAY-25-04-MAY-27,1;2;3,Autovehicule echipate cu instalate GNC;Mopede cu 2 rot; motociclete fara atas,
TEHNICA NOUA - SOCIETATE COOPERATIVA MESTESUGAREASCA,"SIBIU,STR. AUTOGARII 2-4,jud.SIBIU","SIBIU,str. Autogarii 2-4,jud.SIBIU",432,1104,SB018,,17-MAR-25-07-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
TEHNICA NOUA - SOCIETATE COOPERATIVA MESTESUGAREASCA,"SIBIU,STR. AUTOGARII 2-4,jud.SIBIU","SIBIU,str. Autogarii 2-4,jud.SIBIU",432,1104,SB018,,08-DEC-23-07-DEC-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC SIGEMO IMPEX SRL,"SELIMBAR,STR. SIBIULUI 26,jud.SIBIU","SELIMBAR,STR. SIBIULUI 26,jud.SIBIU",433,1196,SB019,,22-JUL-24-21-JUL-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO DIESEL POPA SRL,"MEDIAS,STR. MALULUI 5,jud.SIBIU","MEDIAS,STR. MALULUI 5,jud.SIBIU",436,1285,SB022,269.838678,01-JAN-25-31-DEC-26,2,Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GRIG AUTO SRL,"DRAGASANI,STR. REGELE CAROL 54,jud.VALCEA","DRAGASANI,STR. REGELE CAROL 54,jud.VALCEA",446,593,VL018,,22-DEC-24-21-DEC-26,1;2,Autovehicule echipate cu instalate GNC;Tractoare,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SOCIETATEA COOPERATIVA MESTESUGAREASCA AUTOSERVICE MICALACA SCM,"ARAD,CALEA RADNEI 284,jud.ARAD","ARAD,CALEA RADNEI 284,jud.ARAD",454,1297,AR001,,02-SEP-25-13-MAY-27,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SOCIETATEA COOPERATIVA MESTESUGAREASCA AUTOSERVICE MICALACA SCM,"ARAD,CALEA RADNEI 284,jud.ARAD","ARAD,CALEA RADNEI 284,jud.ARAD",454,1297,AR001,,14-MAY-25-13-MAY-27,1;2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare","Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
